itemNum,description,siteCode,wareCity,wareCountry,quantity
100001,"USB Drive, 32GB",BEIJ,Beijing,China,3
100011,"Motherboard, Gigabyte",BEIJ,Beijing,China,2
100003,"SSD, 1TB",CHEN,Chengdu,China,1
100008,"CPU, AMD",CHEN,Chengdu,China,4
100005,"Power Supply, 500W",SHAN,Shanghai,China,3
100012,"Motherboard, ASI",SHAN,Shanghai,China,1
100007,"Power Supply, 1000W",PARI,Paris,France,6
100008,"CPU, AMD",PARI,Paris,France,1
100009,"CPU, Intel",FRAN,Frankfurt,Germany,3
100010,"Motherboard, ASUS",FRAN,Frankfurt,Germany,5
100001,"USB Drive, 32GB",ROME,Italy,Rome,6
100012,"Motherboard, ASI",ROME,Italy,Rome,2
100001,"USB Drive, 32GB",HOKK,Hokkaido,Japan,2
100004,"SSD, 2TB",HOKK,Hokkaido,Japan,3
100008,"CPU, AMD",NAGO,Nagoya,Japan,5
100011,"Motherboard, Gigabyte",NAGO,Nagoya,Japan,1
100006,"Power Supply, 750W",TOKY,Tokyo,Japan,2
100002,"USB Drive, 16GB",TOKY,Tokyo,Japan,4
100002,"USB Drive, 16GB",LOND,London,United Kingdom,5
100008,"CPU, AMD",LOND,London,United Kingdom,3
100004,"SSD, 2TB",AUST,Austin,United States,2
100001,"USB Drive, 32GB",AUST,Austin,United States,1
100012,"Motherboard, ASI",SANF,San Francisco,United States,1
100002,"USB Drive, 16GB",SANF,San Francisco,United States,3
100008,"CPU, AMD",NEWY,New York,United States,6
100007,"Power Supply, 1000W",NEWY,New York,United States,3
